x,Cp
-1.0,0.0013352599166952196
-0.953125,0.0010206588325911896
-0.90625,0.0016265066785908669
-0.859375,0.001307382611464212
-0.8125,0.002204754108440197
-0.765625,0.0020695367039194707
-0.71875,0.00293806491649056
-0.671875,0.002991856374057991
-0.625,0.003801941028641391
-0.578125,0.004123471084564165
-0.53125,0.005061068166364251
-0.484375,0.005886346852975769
-0.4375,0.0071677243219949605
-0.390625,0.008790724313359307
-0.34375,0.010689226033080137
-0.296875,0.013623426001819044
-0.25,0.016808560913051072
-0.203125,0.022423962942788388
-0.15625,0.029172729943639536
-0.109375,0.042089112945605404
-0.0625,0.06333636268445693
-0.015625,0.1050711154451643
0.03125,0.06458952380711779
0.078125,-0.009766593413700845
0.125,-0.027823088760650875
0.171875,-0.0616738233995661
0.21875,-0.07142976400041769
0.265625,-0.09146324189800051
0.3125,-0.0961852312442881
0.359375,-0.10872766828657493
0.40625,-0.10938875884335209
0.453125,-0.11656837830574684
0.5,-0.11351416512252772
0.546875,-0.11622640936523793
0.59375,-0.10940782973298954
0.640625,-0.10780317106438518
0.6875,-0.09652020357252146
0.734375,-0.0902138993224281
0.78125,-0.07249452105380585
0.828125,-0.06025282894530987
0.875,-0.030175990630913356
0.921875,-0.008019162501040506
0.96875,0.059249170643291875
1.015625,0.10869202235375375
1.0625,0.06372054246741256
1.109375,0.04524831627702957
1.15625,0.029247006389192833
1.203125,0.025225737108188317
1.25,0.017022041604883773
1.296875,0.016329614733261874
1.34375,0.011044156582087936
1.390625,0.011444871475064202
1.4375,0.007552252333809928
1.484375,0.008435462425973345
1.53125,0.005358355698689871
1.578125,0.006410834632414896
1.625,0.003862028570728285
1.671875,0.004874626136974351
1.71875,0.002655717816568715
1.765625,0.0035988981891290355
1.8125,0.0015495638601188979
1.859375,0.002473304602262594
1.90625,0.00046070609570450646
1.953125,0.0013569423908104477
2.0,-0.0006661427306284382
