"TimeStep","Velocity:0","Velocity:1","Total Energy","Internal Energy","Temperature","Speed of Sound","Pressure","Total Enthalpy","Mach Number","Density","Points:0","Points:1","Points:2"
119,266.93,17.904,2.1693e+05,1.8114e+05,252.41,318.49,63824,2.8938e+05,0.84,0.88086,0.064605,0.013639,0
119,266.97,17.918,2.17e+05,1.812e+05,252.5,318.54,63886,2.8948e+05,0.84,0.88142,0.063195,0.0047334,0
119,269.73,17.722,2.1714e+05,1.806e+05,251.66,318.02,63163,2.8937e+05,0.85,0.87434,0.075644,0.014391,0
119,269.77,17.77,2.1721e+05,1.8066e+05,251.75,318.07,63225,2.8947e+05,0.85,0.8749,0.074071,0.0054833,0
119,272.53,17.45,2.1735e+05,1.8006e+05,250.91,317.54,62506,2.8937e+05,0.86,0.86784,0.088235,0.015225,0
119,272.56,17.542,2.1742e+05,1.8012e+05,250.99,317.59,62564,2.8947e+05,0.86,0.86837,0.086108,0.006292,0
119,275.31,17.111,2.1757e+05,1.7952e+05,250.16,317.07,61851,2.8937e+05,0.87,0.86133,0.10172,0.016092,0
119,275.35,17.229,2.1764e+05,1.7958e+05,250.24,317.12,61908,2.8947e+05,0.87,0.86185,0.099515,0.0071654,0
119,278.09,16.688,2.1778e+05,1.7898e+05,249.4,316.59,61198,2.8937e+05,0.88,0.85483,0.1166,0.017015,0
119,278.13,16.85,2.1785e+05,1.7903e+05,249.48,316.63,61252,2.8946e+05,0.88,0.85532,0.11391,0.0080714,0
119,280.86,16.221,2.18e+05,1.7843e+05,248.64,316.1,60545,2.8937e+05,0.89,0.8483,0.13188,0.017926,0
119,280.89,16.408,2.1807e+05,1.7848e+05,248.71,316.15,60597,2.8946e+05,0.89,0.84877,0.12923,0.0089992,0
119,283.65,15.844,2.1828e+05,1.7792e+05,247.94,315.65,59939,2.8945e+05,0.9,0.84219,0.14667,0.011218,0
119,283.65,15.876,2.1829e+05,1.7793e+05,247.95,315.66,59946,2.8946e+05,0.9,0.84225,0.14623,0.0099874,0
119,283.62,15.644,2.1822e+05,1.7788e+05,247.87,315.62,59897,2.8938e+05,0.9,0.84181,0.14922,0.018914,0
119,286.37,15.034,2.1845e+05,1.7733e+05,247.1,315.13,59249,2.8938e+05,0.91,0.83529,0.16673,0.019862,0
119,286.39,15.312,2.185e+05,1.7738e+05,247.17,315.17,59293,2.8945e+05,0.91,0.8357,0.16329,0.010927,0
119,289.1,14.359,2.1867e+05,1.7677e+05,246.33,314.63,58603,2.8938e+05,0.92,0.82879,0.18525,0.020816,0
119,289.13,14.655,2.1872e+05,1.7682e+05,246.4,314.67,58645,2.8945e+05,0.92,0.82916,0.18196,0.011905,0
119,291.83,13.601,2.1889e+05,1.7622e+05,245.56,314.14,57961,2.8938e+05,0.93,0.82229,0.20508,0.021773,0
119,291.85,13.935,2.1895e+05,1.7626e+05,245.62,314.18,57999,2.8945e+05,0.93,0.82262,0.20151,0.012871,0
119,294.54,12.799,2.1912e+05,1.7566e+05,244.78,313.64,57321,2.8938e+05,0.94,0.81578,0.22546,0.022695,0
119,294.56,13.158,2.1917e+05,1.757e+05,244.83,313.67,57354,2.8945e+05,0.94,0.81608,0.22169,0.0138,0
119,297.24,11.934,2.1935e+05,1.751e+05,244,313.14,56683,2.8939e+05,0.95,0.80929,0.2467,0.023582,0
119,297.26,12.314,2.1939e+05,1.7513e+05,244.05,313.17,56712,2.8945e+05,0.95,0.80955,0.2428,0.014705,0
119,299.93,11.213,2.1959e+05,1.7455e+05,243.24,312.65,56060,2.8942e+05,0.96,0.80291,0.26667,0.019982,0
119,299.94,11.408,2.1962e+05,1.7457e+05,243.26,312.66,56073,2.8944e+05,0.96,0.80302,0.2647,0.015569,0
119,299.93,11.013,2.1957e+05,1.7454e+05,243.21,312.63,56047,2.8939e+05,0.96,0.80279,0.26869,0.024428,0
119,302.6,10.038,2.198e+05,1.7397e+05,242.42,312.13,55413,2.8939e+05,0.97,0.7963,0.29137,0.025219,0
119,302.61,10.443,2.1984e+05,1.74e+05,242.47,312.15,55436,2.8944e+05,0.97,0.79649,0.28729,0.016377,0
119,305.25,9.0096,2.2003e+05,1.734e+05,241.63,311.62,54783,2.8939e+05,0.98,0.78982,0.31468,0.025946,0
119,305.26,9.4262,2.2007e+05,1.7343e+05,241.67,311.64,54801,2.8944e+05,0.98,0.78997,0.31051,0.017125,0
119,307.89,7.9328,2.2026e+05,1.7283e+05,240.84,311.1,54155,2.894e+05,0.99,0.78334,0.33856,0.026603,0
119,307.9,8.3578,2.2029e+05,1.7286e+05,240.87,311.13,54170,2.8943e+05,0.99,0.78345,0.33431,0.017803,0
119,310.52,7.1054,2.2051e+05,1.7227e+05,240.06,310.6,53537,2.8942e+05,1,0.77692,0.36,0.021137,0
119,310.52,7.2385,2.2052e+05,1.7228e+05,240.07,310.61,53541,2.8943e+05,1,0.77695,0.35867,0.018401,0
119,310.51,6.8085,2.2049e+05,1.7226e+05,240.04,310.59,53529,2.894e+05,1,0.77687,0.36297,0.027181,0
119,313.12,5.7575,2.2073e+05,1.7169e+05,239.25,310.08,52909,2.8941e+05,1.01,0.77042,0.38667,0.025276,0
119,313.13,6.0713,2.2075e+05,1.717e+05,239.27,310.09,52916,2.8943e+05,1.01,0.77045,0.38352,0.018912,0
119,313.12,5.6382,2.2072e+05,1.7169e+05,239.24,310.07,52907,2.894e+05,1.01,0.77041,0.38786,0.027674,0
119,315.71,4.4234,2.2096e+05,1.7111e+05,238.44,309.55,52288,2.894e+05,1.02,0.76396,0.4132,0.028075,0
119,315.72,4.8592,2.2097e+05,1.7112e+05,238.46,309.56,52294,2.8942e+05,1.02,0.76397,0.40883,0.019332,0
119,318.28,3.1654,2.2119e+05,1.7053e+05,237.63,309.03,51673,2.894e+05,1.03,0.75752,0.43896,0.028376,0
119,318.29,3.6039,2.212e+05,1.7054e+05,237.65,309.04,51675,2.8942e+05,1.03,0.7575,0.43454,0.019654,0
119,320.84,1.8671,2.2142e+05,1.6995e+05,236.83,308.5,51060,2.894e+05,1.04,0.7511,0.46508,0.028574,0
119,320.84,2.3073,2.2143e+05,1.6996e+05,236.84,308.51,51060,2.8942e+05,1.04,0.75105,0.46062,0.019872,0
119,323.37,0.52974,2.2166e+05,1.6937e+05,236.02,307.97,50452,2.894e+05,1.05,0.74469,0.49154,0.028665,0
119,323.38,0.97117,2.2166e+05,1.6938e+05,236.02,307.98,50448,2.8941e+05,1.05,0.74461,0.48705,0.019983,0
119,325.89,-0.84458,2.2189e+05,1.6879e+05,235.2,307.44,49847,2.8941e+05,1.06,0.7383,0.5183,0.028644,0
119,325.89,-0.40274,2.2189e+05,1.6879e+05,235.21,307.45,49841,2.8941e+05,1.06,0.73819,0.51377,0.019981,0
119,328.39,-2.2558,2.2213e+05,1.682e+05,234.39,306.91,49245,2.8941e+05,1.07,0.73192,0.54534,0.028508,0
119,328.39,-1.8129,2.2213e+05,1.682e+05,234.39,306.91,49237,2.8941e+05,1.07,0.73179,0.54078,0.019863,0
119,330.86,-3.7091,2.2236e+05,1.6762e+05,233.57,306.38,48647,2.8941e+05,1.08,0.72557,0.57285,0.028251,0
119,330.87,-3.2663,2.2236e+05,1.6762e+05,233.57,306.37,48637,2.8941e+05,1.08,0.72541,0.5682,0.019625,0
119,333.32,-5.1393,2.226e+05,1.6703e+05,232.75,305.84,48049,2.8941e+05,1.09,0.71917,0.6,0.025838,0
119,333.33,-4.7654,2.2259e+05,1.6703e+05,232.75,305.84,48040,2.894e+05,1.09,0.71904,0.59588,0.019261,0
119,333.32,-5.2413,2.226e+05,1.6703e+05,232.75,305.84,48053,2.8941e+05,1.09,0.71922,0.60111,0.027861,0
119,335.77,-6.4679,2.2284e+05,1.6644e+05,231.94,305.3,47466,2.8941e+05,1.1,0.71293,0.62364,0.027458,0
119,335.77,-6.1083,2.2283e+05,1.6644e+05,231.93,305.3,47450,2.894e+05,1.1,0.71273,0.62054,0.018834,0
119,338.18,-8.2222,2.2307e+05,1.6585e+05,231.12,304.76,46881,2.8942e+05,1.11,0.70665,0.65706,0.026714,0
119,338.18,-7.9712,2.2307e+05,1.6585e+05,231.11,304.75,46865,2.894e+05,1.11,0.70643,0.65481,0.018081,0
119,340.58,-9.5949,2.233e+05,1.6526e+05,230.29,304.21,46282,2.8941e+05,1.12,0.70015,0.68,0.021116,0
119,340.59,-9.1771,2.233e+05,1.6525e+05,230.28,304.21,46275,2.894e+05,1.12,0.70006,0.67472,0.017554,0
119,340.58,-9.8952,2.2331e+05,1.6526e+05,230.29,304.22,46296,2.8942e+05,1.12,0.70034,0.68371,0.025994,0
119,330.37,-10.572,2.2216e+05,1.6744e+05,233.32,306.2,48512,2.8914e+05,1.08,0.72373,0.70441,0.016655,0
119,330.38,-10.758,2.2218e+05,1.6745e+05,233.34,306.21,48536,2.8916e+05,1.08,0.72404,0.70432,0.02536,0
119,332.91,-10.492,2.2244e+05,1.6689e+05,232.56,305.7,47953,2.892e+05,1.09,0.71781,0.70187,0.016736,0
119,332.92,-10.666,2.2246e+05,1.669e+05,232.58,305.71,47977,2.8922e+05,1.09,0.71812,0.70174,0.025442,0
119,335.45,-10.411,2.2272e+05,1.6634e+05,231.79,305.2,47394,2.8926e+05,1.1,0.71189,0.69934,0.016818,0
119,335.46,-10.574,2.2274e+05,1.6635e+05,231.81,305.21,47417,2.8928e+05,1.1,0.7122,0.69915,0.025524,0
119,337.98,-10.33,2.23e+05,1.6579e+05,231.02,304.69,46835,2.8932e+05,1.11,0.70597,0.69681,0.016899,0
119,338,-10.482,2.2302e+05,1.658e+05,231.05,304.71,46858,2.8934e+05,1.11,0.70628,0.69657,0.025606,0
